task,gene_set,abs_nes_rank,ik,drug_name,nes,abs_nes,nominal_p,bh_q_within_task_pathway,marker,leading_edge_genes
NR-Aromatase,Cholesterol Homeostasis,1,XUKUURHRXDUEBC,Atorvastatin,-2.047839300349332,2.047839300349332,0.0010649627263045,0.016187433439828404,*,ECH1;EBP;HMGCS1;NSDHL;ACAT2;HMGCR;FDFT1
NR-Aromatase,Cholesterol Homeostasis,2,RYMZZMVNJRMUDD,Simvastatin,-2.022916736909488,2.022916736909488,0.0003320053120849,0.0115942028985492,*,ALDOC;GSTM2;ECH1;TRIB3;ACAT2;EBP;HMGCS1;HMGCR;NSDHL;FDFT1
NR-Aromatase,Cholesterol Homeostasis,3,AJLFOPYRIVGYMJ,Mevastatin,-1.9984134580980653,1.9984134580980653,0.0003489183531053,0.0115942028985492,*,NSDHL;ALDOC;HMGCR;ACAT2;HMGCS1;FDFT1;GSTM2
NR-Aromatase,Cholesterol Homeostasis,4,PCZOHLXUXFIOCF,Lovastatin,-1.977781298890672,1.977781298890672,0.0007127583749109,0.0135424091233071,*,ALDOC;EBP;GSTM2;ATF5;HMGCS1;NSDHL;HMGCR;FDFT1;ACAT2
NR-Aromatase,Cholesterol Homeostasis,5,AAKJLRGGTJKAMG,Erlotinib,1.7995884381068312,1.7995884381068312,0.0004576659038901,0.0115942028985492,*,ECH1;TMEM97;FDFT1;EBP;HMGCS1;GSTM2;ATF5;TRIB3
SR-ARE,Reactive Oxygen Species Pathway,1,JUQLTPCYUFPYKE,Ritanserin,1.8820093646138003,1.8820093646138003,0.0002410219329959,0.0236201494335982,*,GLRX;TXNRD1;MSRA;PDLIM1
SR-ARE,Reactive Oxygen Species Pathway,2,VWUXBMIQPBEWFH,Fulvestrant,1.724883329492389,1.724883329492389,0.0006282722513089,0.030785340314136104,*,GLRX;TXNRD1;PDLIM1
SR-ARE,Reactive Oxygen Species Pathway,3,QFOHBWFCKVYLES,Butylparaben,1.701072188881145,1.701072188881145,0.0039875941515285,0.07815684536995861,x,GLRX;OXSR1;CAT;MSRA
SR-ARE,Reactive Oxygen Species Pathway,4,WAZQAZKAZLXFMK,Deracoxib,1.6993626262483936,1.6993626262483936,0.0033097969991173,0.07815684536995861,x,PDLIM1;TXNRD1;GLRX
SR-ARE,Reactive Oxygen Species Pathway,5,WJJYZXPHLSLMGE,Xaliproden,-1.6685021861239573,1.6685021861239573,0.0035676061362825,0.07815684536995861,x,TXNRD1;GLRX
SR-MMP,Pperoxisome,1,LKJPYSCBVHEWIU,Bicalutamide,-1.8246879271481315,1.8246879271481315,0.0006949270326615,0.0326615705350905,*,MVP;CDK7;SCP2;PEX11A;ISOC1;FIS1
SR-MMP,Pperoxisome,2,TZBJGXHYKVUXJN,Genistein,1.8116977186056435,1.8116977186056435,0.0015209125475285,0.053612167300379626,x,PEX11A;ECH1;HSD17B11;ISOC1;ACAA1
SR-MMP,Pperoxisome,3,WXNZTHHGJRFXKQ,Parachlorophenol,1.805316893294682,1.805316893294682,0.0003193867773874,0.0326615705350905,*,FIS1;ECH1;ISOC1;HSD17B11;SCP2
SR-MMP,Pperoxisome,4,WJFKNYWRSNBZNX,Phenothiazine,-1.761245770904643,1.761245770904643,0.0034456355283307,0.09716692189892576,x,PEX11A;CDK7;HSD17B11;FIS1
SR-MMP,Pperoxisome,5,LUKBXSAWLPMMSZ,Resveratrol,1.7324365798775274,1.7324365798775274,0.0048849669082886,0.11135641591729024,,FIS1;CDK7
SR-p53,p53 Pathway,1,FOCVUCIESVLUNU,Thiotepa,1.8912811493990545,1.8912811493990545,0.0001591849729385,0.00390003183699325,*,CDKN1A;SESN1;DDB2;FAS;RALGDS;GADD45A;BAX;NOTCH1;ABHD4;DDIT4
SR-p53,p53 Pathway,2,WYJAPUKIYAZSEM,Vinburnine,1.83320708049135,1.83320708049135,0.0009669309611293,0.007289171860820878,*,SESN1;DDB2;FAS;CDKN1A;DDIT4;GADD45A;BAX;RALGDS;HMOX1;FOXO3;PDGFA;CGRRF1
SR-p53,p53 Pathway,3,JCKYGMPEJWAADB,Chlorambucil,1.7820557164623034,1.7820557164623034,0.0019831432821021,0.012952863264510565,*,CDKN1A;DDB2;FAS;SESN1;DDIT4;GADD45A;BAX;PDGFA;ABHD4;FOXO3;CTSD;MAPKAPK3;IER3
SR-p53,p53 Pathway,4,KIQQMECNKUGGKA,Norgestimate,1.6642228259376226,1.6642228259376226,0.005029074336005,0.024142093464390064,*,CDKN1A;DDIT4;SESN1;DDB2;HMOX1;FAS;BLCAP;ABHD4;FOXO3
SR-p53,p53 Pathway,5,WDFKMLRRRCGAKS,Chloroxine,1.6514221935184463,1.6514221935184463,0.0022469252601702,0.012952863264510565,*,DDIT4;NOTCH1;GADD45A;CDKN1A;SESN1;HMOX1;DDB2;BLCAP;PCNA;ABHD4;FOXO3
