task,cell,repeat_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_compounds,n_positive,n_negative
NR-AR,HA1E,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,968,72,896
NR-AR,HA1E,1,3042,3042,9c28af609b7f57dbde56c0743e4400196732e16912c337c6c8ef7b969a936700,968,72,896
NR-AR,HA1E,2,4042,4042,5a9a2eec630110bfcb80d08943abe2b828d4231e6b0a27e107f69b8388d64748,968,72,896
NR-AR,HA1E,3,5042,5042,526b93c73f5dcb6e56f98c5d5dabadeb9f52ddd1a1eeb7308c36deb9e50cd98a,968,72,896
NR-AR,HA1E,4,6042,6042,e8092bd3c820984fd9877fec7c76611c1053130606451967369ee6c5e60ede74,968,72,896
NR-AR,HA1E,5,7042,7042,0fff024466afb6f18adf32566bca66cf0d9c459c9fa70ce9aa7ada136403a5ac,968,72,896
NR-AR,HA1E,6,8042,8042,bdcfd07af02d49619996addca6cfa7fdd5ce8ac3c0c2b209b1e9fac0a9bd65b8,968,72,896
NR-AR,HA1E,7,9042,9042,24ad1b5bbba0cdfec651732a3ea346998506dd7aea6ee1e2bffa9689d492ee67,968,72,896
NR-AR,HA1E,8,10042,10042,dd4604cd888c466f6b9c00f3da135bf64fffbb410f2a9fa117fb1f27c8406047,968,72,896
NR-AR,HA1E,9,11042,11043,d0538b3baf6930d03c886e4090506cc56be3fb231a9220ec13f8a52b6f614325,968,72,896
NR-AR,HA1E,10,12042,12042,403d1c4dfe5e1585933417194313ba3fc22b77ca7d61cf26fafa44fbd781ff38,968,72,896
NR-AR,HA1E,11,13042,13042,c52bd4231db89a62376314437b2ea06480a3db189535d2575c5efd24989eacea,968,72,896
NR-AR,HA1E,12,14042,14042,2eab592b1f209ce753c0f61f4cfdff1ed49f374138b52b430fb5ca7d209afd00,968,72,896
NR-AR,HA1E,13,15042,15042,21c3acff848d3c1c99b04c37e2972eaaa6b7b01567feed56e54ccbc09a1f1304,968,72,896
NR-AR,HA1E,14,16042,16042,0fbe6758aeb988c460b01823f4dd0fd7b8c0a9af829f7ad662db1b07d09ab1cf,968,72,896
NR-AR,HA1E,15,17042,17042,12aaae45592b17ba775fdebb620b3ce6f1697b60edec8bf14ab6325541133df0,968,72,896
NR-AR,HA1E,16,18042,18042,51ac4e538440f60bd807a8d0233853d080c7e8fa2941dc1f8fee44d341ed9dd5,968,72,896
NR-AR,HA1E,17,19042,19042,a3551917e9251d3820af8a09a531deef1f7dceb0462e41a8acea748f0c0f7216,968,72,896
NR-AR,HA1E,18,20042,20042,e9a6b3567d8c6ea3bc9487ce420134e6d3e65bbbb97923aa1cf38997e8d2168d,968,72,896
NR-AR,HA1E,19,21042,21042,d0d496f95b103e348b23b2cdbbd6a9ccd026784503b93412c6e0b7878a071902,968,72,896
NR-AR-LBD,HA1E,0,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,869,49,820
NR-AR-LBD,HA1E,1,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,869,49,820
NR-AR-LBD,HA1E,2,4042,4042,9f2c51ceb03374e1a440e50b1d58ce7679dc9411e35cdbfdf9edf43b3b305d10,869,49,820
NR-AR-LBD,HA1E,3,5042,5043,d6b0da523b46d45b59e78c5d445387394e66ce773cc5bfe30e237716df1f8ee3,869,49,820
NR-AR-LBD,HA1E,4,6042,6042,ed1f2c30f2eacc2715770f46555e06b0eaf489b25cdde86f7b38130013062674,869,49,820
NR-AR-LBD,HA1E,5,7042,7042,2b7ab10f50e4b7e58c3624cad0e8665b8c18d2a9e765640b9ae436f8a4486562,869,49,820
NR-AR-LBD,HA1E,6,8042,8042,bba5af4b4ebec7fed8a40e095527778a9f71005f41c16cdbbbb35b42062d41ba,869,49,820
NR-AR-LBD,HA1E,7,9042,9042,964be1fc8e3219525728585fc922b95e24e9b198d1f7b4e4e2bb244fbdfe8ea4,869,49,820
NR-AR-LBD,HA1E,8,10042,10042,9e65b1c737e8179c2e997ba3789925d02f80772f45b63722689ff3705e2b37b1,869,49,820
NR-AR-LBD,HA1E,9,11042,11042,d029a2c9dfc555c19f37359e929b8d3b65f67d24002ff8f6328df9a2ce09b3c8,869,49,820
NR-AR-LBD,HA1E,10,12042,12042,3c4b4a7589669d720d92534e6e017564e7de56a50252b591f50d83fac4fa89e0,869,49,820
NR-AR-LBD,HA1E,11,13042,13042,66f071c1c76839978ab32d953ee280ec2c72444a3962298386eef23ac78918ea,869,49,820
NR-AR-LBD,HA1E,12,14042,14042,6f46f8a8cb2aba6fc01b4d6180b0251541716c6f95f1bcc3b0c353befc1550ec,869,49,820
NR-AR-LBD,HA1E,13,15042,15042,b1279882a2b1ad6f3d24427ff4bfe8a8973bdbee7c27251401be1e65634cca32,869,49,820
NR-AR-LBD,HA1E,14,16042,16042,d9a719a7eb5237288316389efc04f8bfd308808deba19d0c5eae63b5d4547c00,869,49,820
NR-AR-LBD,HA1E,15,17042,17042,d464f71ed6934c55f51977522328504b14f7dab12cd80e2e668ef707a2c9ab35,869,49,820
NR-AR-LBD,HA1E,16,18042,18042,aec958b5e69bf99a6f0c24fad49cc031bb2b9f098255f2b57bf909ed7cc607ed,869,49,820
NR-AR-LBD,HA1E,17,19042,19042,d1cefa21565156c9efa551999661a78a4a51eb3d0764ff1274b9e33db87438a4,869,49,820
NR-AR-LBD,HA1E,18,20042,20042,b0a19fec39800c68f814d61b3dfb0c43a7be885f8fcf82996c62506900473812,869,49,820
NR-AR-LBD,HA1E,19,21042,21042,62b392e21951b342634866a3cc75e55eb359222762c3592e0fcfd1d3d7f7468d,869,49,820
NR-AhR,HA1E,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,849,102,747
NR-AhR,HA1E,1,3042,3042,51f248f85fd174a4f5cc2e28a0d0ffd9a4107474159d6cc8bdb85bbf405b9d0d,849,102,747
NR-AhR,HA1E,2,4042,4042,60bc7b478b9edea1e8186b5ca895391f09b1e99cf8c3811f05eed7cc8667e3cf,849,102,747
NR-AhR,HA1E,3,5042,5042,4084cbd8dc1eb73833ae1441a93a771b0e5ef1affceb702b799c9c8786597ef1,849,102,747
NR-AhR,HA1E,4,6042,6042,9d936e043b1c711f8b577730c2271755d379bc3ef10a0c7bb692d452f2019c0e,849,102,747
NR-AhR,HA1E,5,7042,7042,e3b536c6919dfc218a2255c06726c9ca529e23b9163a6bc7b2a0a34f97c156e6,849,102,747
NR-AhR,HA1E,6,8042,8042,d6de517f277b991ca42645af6a929776595dbeb2c395a9059f83aa250a9a326d,849,102,747
NR-AhR,HA1E,7,9042,9042,d03d5a4adeebf95e6de94c66109c9f609fe71c50fc630f1998545b53d38b5236,849,102,747
NR-AhR,HA1E,8,10042,10042,5715a39f9f465ff6c8250b2ef5e9133109c17b769ab3cf91fd79b86926c9d6fd,849,102,747
NR-AhR,HA1E,9,11042,11042,9fc2ee77c6a8185ba048fc9905111fc719dcbe2fdfdeded7972121e6200a1d18,849,102,747
NR-AhR,HA1E,10,12042,12042,4227b2cf07b337f4cc415acc7a959d103ae079e6f58ce1305e0e36ff437feac3,849,102,747
NR-AhR,HA1E,11,13042,13042,ddc820dd4f359ad49da3f89ae08fde4ff301b4582927cb8a74069047bdb52805,849,102,747
NR-AhR,HA1E,12,14042,14042,36bb1cd21b9e8673973912a1b66ebd49b2b93d22f154b2dffe49c9ea24fce5c9,849,102,747
NR-AhR,HA1E,13,15042,15042,526eefce593c629e90f7ef680ccb5acaaa3d8ecf5f10364ac6987c4634f5ac84,849,102,747
NR-AhR,HA1E,14,16042,16042,191364220e034d1e302b57cee713d648ef874ce289b2e1e461c018f1d8332f4c,849,102,747
NR-AhR,HA1E,15,17042,17042,69b3c49fd36a9ae4ca2a2099a562bb3f9cf1fbc36185c2887c782d7c6b7d69ec,849,102,747
NR-AhR,HA1E,16,18042,18042,1436cd12391c8558f0eb934d74b4973414e7a6d66ac6932f27a52327fb5512e6,849,102,747
NR-AhR,HA1E,17,19042,19042,1ecb31a304bd8253d14be0c25d6aa1552c0ecb573ba4fa9d0c13cdbfd4d3104c,849,102,747
NR-AhR,HA1E,18,20042,20042,3b403e1836a8f099faeef47ed8cefb04809a5391073f186d381f420f9eb8019b,849,102,747
NR-AhR,HA1E,19,21042,21042,dce09e3408736e30d9b0f1216efca5f27f24b4801c45ec264de519d115dd4127,849,102,747
NR-Aromatase,HA1E,0,2042,2042,dc8abcb709187e262acaa9031d6ec857a171d2db47453b431afde9f8bc9e5842,759,63,696
NR-Aromatase,HA1E,1,3042,3042,dde29dfb6dddfbbaebf1afa2ee032d2107b4979b9d95cbf5a846af61efba8635,759,63,696
NR-Aromatase,HA1E,2,4042,4042,539f173cff367caae297b19de64f3e92d7808447093a832254181bb5513b00e2,759,63,696
NR-Aromatase,HA1E,3,5042,5042,f56d57613d3e0cad22932c638ac0b5281fd8187e55992171c35d10b047f5db70,759,63,696
NR-Aromatase,HA1E,4,6042,6042,1b2a16dddaba57d2258887ae61c5592d569936ab8e1b4040cedb2cfd76709f14,759,63,696
NR-Aromatase,HA1E,5,7042,7042,4666eede0e39403b8bd0363f49f834863fb82ad4fc9d54bfc3327a973e6336cf,759,63,696
NR-Aromatase,HA1E,6,8042,8042,44f5f8b0175e259d9ec1f921e3e55580ab35aa976b8c9b7cecab46cca8465bbf,759,63,696
NR-Aromatase,HA1E,7,9042,9042,a32d3167c544f01e2ae4cdab9acad09559a4c9ee69509b6f17a77e9a6ed1f615,759,63,696
NR-Aromatase,HA1E,8,10042,10042,42c8c943912118a23d29950f42fb00286a323fe4fb5c42fe75b39726fad6f3ea,759,63,696
NR-Aromatase,HA1E,9,11042,11042,ff683f4917317ed5f83a75719c1838526f087a4ec7345b4d2a27223fc4b55e15,759,63,696
NR-Aromatase,HA1E,10,12042,12042,df4933180b30ac78fad37481ab5fe3a6ccab62c0c855acc77c7a69f23e0a64e8,759,63,696
NR-Aromatase,HA1E,11,13042,13042,117a2b6c67170041116551309b5164d6172097f858862a47429f63f71c0a8008,759,63,696
NR-Aromatase,HA1E,12,14042,14042,3bac073e5898005399f6b749cd7fab4498ebb564d18dc0164ebad680411f6a15,759,63,696
NR-Aromatase,HA1E,13,15042,15042,03825166c6d08cb87a98d6c2c50d6d7192bf56b3fce49d9c9f94e52a5731c12a,759,63,696
NR-Aromatase,HA1E,14,16042,16042,ead2608570b7e5156bc3cda826981ae397dc291dae62e33665f426dcda6d3a16,759,63,696
NR-Aromatase,HA1E,15,17042,17042,e00c92259b42b009c07cb00344106e559e6b37cb17dbc3debd069b92d07f8856,759,63,696
NR-Aromatase,HA1E,16,18042,18042,45830f64d1bbed5e1c78c67c6d6f9c9428ab19d6a31d934406152076616e10bb,759,63,696
NR-Aromatase,HA1E,17,19042,19042,a89a9f87f458212e2ce653f0c279c855104d71ae1eb84313612d228e55fc3d51,759,63,696
NR-Aromatase,HA1E,18,20042,20042,a1b8c0bc01e47642fcf57dd7b30c05e1b1d09e69a2c9504e6b4267297b546fc6,759,63,696
NR-Aromatase,HA1E,19,21042,21042,e42389ca6c7ca3c9a2178064b3efad039db36dca11170966d27625abacddeaf8,759,63,696
