Family,Tox21 endpoint,Cell line,Cohort,Exposure,Dose window (uM),Total compounds,Labeled,Active,Inactive,Missing,Active (%),Outer-train N,Outer-test N,Outer-test active,Minimum test actives,Analysis status
NR,NR-AR,HA1E,Primary 6 h,6,8-12,1012,968,72,896,44,7.43801652892562,641-867,101-327,2-34,2.0,Confirmatory-eligible
NR,NR-AR,HepG2,Primary 6 h,6,8-12,695,668,46,622,27,6.88622754491018,463-595,73-205,3-24,3.0,Confirmatory-eligible
NR,NR-AR,HT29,Primary 6 h,6,8-12,1005,960,72,888,45,7.5,661-854,106-299,3-27,3.0,Confirmatory-eligible
NR,NR-AR,MCF7,Primary 6 h,6,8-12,1332,1259,82,1177,73,6.513105639396347,835-1148,111-424,2-34,2.0,Confirmatory-eligible
NR,NR-AR-LBD,HA1E,Primary 6 h,6,8-12,1012,869,49,820,143,5.638665132336018,576-784,85-293,2-24,2.0,Confirmatory-eligible
NR,NR-AR-LBD,HepG2,Primary 6 h,6,8-12,695,598,37,561,97,6.187290969899665,407-534,64-191,2-18,2.0,Confirmatory-eligible
NR,NR-AR-LBD,HT29,Primary 6 h,6,8-12,1005,862,47,815,143,5.452436194895592,586-779,83-276,2-24,2.0,Confirmatory-eligible
NR,NR-AR-LBD,MCF7,Primary 6 h,6,8-12,1332,1145,53,1092,187,4.6288209606986905,770-1045,100-375,2-24,2.0,Confirmatory-eligible
NR,NR-AhR,HA1E,Primary 6 h,6,8-12,1012,849,102,747,163,12.014134275618375,556-774,75-293,5-37,5.0,Confirmatory-eligible
NR,NR-AhR,HepG2,Primary 6 h,6,8-12,695,585,65,520,110,11.11111111111111,390-529,56-195,2-25,2.0,Confirmatory-eligible
NR,NR-AhR,HT29,Primary 6 h,6,8-12,1005,841,95,746,164,11.296076099881095,569-758,83-272,3-34,3.0,Confirmatory-eligible
NR,NR-AhR,MCF7,Primary 6 h,6,8-12,1332,1111,112,999,221,10.081008100810081,737-1021,90-374,5-43,5.0,Confirmatory-eligible
NR,NR-Aromatase,HA1E,Primary 6 h,6,8-12,1012,759,63,696,253,8.300395256916996,493-694,65-266,3-26,3.0,Confirmatory-eligible
NR,NR-Aromatase,HepG2,Primary 6 h,6,8-12,695,512,47,465,183,9.1796875,342-467,45-170,2-19,2.0,Confirmatory-eligible
NR,NR-Aromatase,HT29,Primary 6 h,6,8-12,1005,758,63,695,247,8.311345646437996,508-694,64-250,2-23,2.0,Confirmatory-eligible
NR,NR-Aromatase,MCF7,Primary 6 h,6,8-12,1332,1021,76,945,311,7.443682664054848,648-945,76-373,4-27,4.0,Confirmatory-eligible
NR,NR-ER,HA1E,Primary 6 h,6,8-12,1012,805,132,673,207,16.39751552795031,539-736,69-266,5-45,5.0,Confirmatory-eligible
NR,NR-ER,HepG2,Primary 6 h,6,8-12,695,540,92,448,155,17.037037037037038,361-487,53-179,5-31,5.0,Confirmatory-eligible
NR,NR-ER,HT29,Primary 6 h,6,8-12,1005,799,128,671,206,16.020025031289112,532-732,67-267,8-52,8.0,Confirmatory-eligible
NR,NR-ER,MCF7,Primary 6 h,6,8-12,1332,1067,155,912,265,14.526710402999063,683-988,79-384,9-58,9.0,Confirmatory-eligible
NR,NR-ER-LBD,HA1E,Primary 6 h,6,8-12,1012,907,55,852,105,6.063947078280044,614-815,92-293,2-24,2.0,Confirmatory-eligible
NR,NR-ER-LBD,HepG2,Primary 6 h,6,8-12,695,620,39,581,75,6.290322580645161,425-550,70-195,2-19,2.0,Confirmatory-eligible
NR,NR-ER-LBD,HT29,Primary 6 h,6,8-12,1005,902,53,849,103,5.875831485587583,616-808,94-286,3-22,3.0,Confirmatory-eligible
NR,NR-ER-LBD,MCF7,Primary 6 h,6,8-12,1332,1194,61,1133,138,5.108877721943048,794-1091,103-400,2-26,2.0,Confirmatory-eligible
NR,NR-PPAR-γ,HA1E,Primary 6 h,6,8-12,1012,811,34,777,201,4.192355117139334,536-737,74-275,2-14,2.0,Confirmatory-eligible
NR,NR-PPAR-γ,HepG2,Primary 6 h,6,8-12,695,552,19,533,143,3.4420289855072466,373-496,56-179,2-9,2.0,Exploratory
NR,NR-PPAR-γ,HT29,Primary 6 h,6,8-12,1005,803,29,774,202,3.61145703611457,536-731,72-267,2-11,2.0,Confirmatory-eligible
NR,NR-PPAR-γ,MCF7,Primary 6 h,6,8-12,1332,1073,34,1039,259,3.1686859273066172,687-996,77-386,2-13,2.0,Confirmatory-eligible
NR,NR-AR,HA1E,Paired 6/24 h,6 and 24,8-12,861,830,59,771,31,7.1084337349397595,557-744,86-273,2-26,2.0,Confirmatory-eligible
NR,NR-AR,HepG2,Paired 6/24 h,6 and 24,8-12,46,45,5,40,1,11.11111111111111,-,-,-,,Excluded
NR,NR-AR,HT29,Paired 6/24 h,6 and 24,8-12,606,585,44,541,21,7.521367521367521,407-517,68-178,3-18,3.0,Confirmatory-eligible
NR,NR-AR,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1243,78,1165,73,6.275140788415125,813-1131,112-430,2-36,2.0,Confirmatory-eligible
NR,NR-AR-LBD,HA1E,Paired 6/24 h,6 and 24,8-12,861,747,39,708,114,5.220883534136546,511-680,67-236,2-18,2.0,Confirmatory-eligible
NR,NR-AR-LBD,HepG2,Paired 6/24 h,6 and 24,8-12,46,31,1,30,15,3.225806451612903,-,-,-,,Excluded
NR,NR-AR-LBD,HT29,Paired 6/24 h,6 and 24,8-12,606,523,19,504,83,3.632887189292543,361-466,57-162,2-8,2.0,Exploratory
NR,NR-AR-LBD,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1129,51,1078,187,4.517271922054915,750-1039,90-379,2-31,2.0,Confirmatory-eligible
NR,NR-AhR,HA1E,Paired 6/24 h,6 and 24,8-12,861,727,91,636,134,12.517193947730398,487-665,62-240,5-32,5.0,Confirmatory-eligible
NR,NR-AhR,HepG2,Paired 6/24 h,6 and 24,8-12,46,36,6,30,10,16.666666666666664,-,-,-,,Excluded
NR,NR-AhR,HT29,Paired 6/24 h,6 and 24,8-12,606,516,63,453,90,12.209302325581394,353-464,52-163,3-23,3.0,Confirmatory-eligible
NR,NR-AhR,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1099,111,988,217,10.100090991810736,717-1011,88-382,3-36,3.0,Confirmatory-eligible
NR,NR-Aromatase,HA1E,Paired 6/24 h,6 and 24,8-12,861,655,57,598,206,8.702290076335878,432-602,53-223,3-23,3.0,Confirmatory-eligible
NR,NR-Aromatase,HepG2,Paired 6/24 h,6 and 24,8-12,46,26,14,12,20,53.84615384615385,-,-,-,,Excluded
NR,NR-Aromatase,HT29,Paired 6/24 h,6 and 24,8-12,606,475,45,430,131,9.473684210526317,323-430,45-152,2-18,2.0,Confirmatory-eligible
NR,NR-Aromatase,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1012,76,936,304,7.5098814229249005,654-940,72-358,3-27,3.0,Confirmatory-eligible
NR,NR-ER,HA1E,Paired 6/24 h,6 and 24,8-12,861,689,112,577,172,16.25544267053701,451-637,52-238,5-44,5.0,Confirmatory-eligible
NR,NR-ER,HepG2,Paired 6/24 h,6 and 24,8-12,46,23,11,12,23,47.82608695652174,-,-,-,,Excluded
NR,NR-ER,HT29,Paired 6/24 h,6 and 24,8-12,606,487,76,411,119,15.605749486652979,334-441,46-153,4-27,4.0,Confirmatory-eligible
NR,NR-ER,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1054,154,900,262,14.61100569259962,673-978,76-381,6-58,6.0,Confirmatory-eligible
NR,NR-ER-LBD,HA1E,Paired 6/24 h,6 and 24,8-12,861,772,40,732,89,5.181347150259067,518-696,76-254,2-18,2.0,Confirmatory-eligible
NR,NR-ER-LBD,HepG2,Paired 6/24 h,6 and 24,8-12,46,39,8,31,7,20.51282051282051,-,-,-,,Excluded
NR,NR-ER-LBD,HT29,Paired 6/24 h,6 and 24,8-12,606,547,25,522,59,4.570383912248629,371-488,59-176,2-11,2.0,Confirmatory-eligible
NR,NR-ER-LBD,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1178,59,1119,138,5.00848896434635,806-1073,105-372,2-22,2.0,Confirmatory-eligible
NR,NR-PPAR-γ,HA1E,Paired 6/24 h,6 and 24,8-12,861,696,29,667,165,4.166666666666666,463-634,62-233,2-11,2.0,Confirmatory-eligible
NR,NR-PPAR-γ,HepG2,Paired 6/24 h,6 and 24,8-12,46,29,2,27,17,6.896551724137931,-,-,-,,Excluded
NR,NR-PPAR-γ,HT29,Paired 6/24 h,6 and 24,8-12,606,483,17,466,123,3.5196687370600417,329-436,47-154,2-7,2.0,Exploratory
NR,NR-PPAR-γ,MCF7,Paired 6/24 h,6 and 24,8-12,1316,1060,33,1027,256,3.1132075471698113,676-987,73-384,2-13,2.0,Confirmatory-eligible
