family,task,mechanistic_endpoint,tox21_protocol,tox21_assay_system,tox21_exposure_h,tox21_vehicle,tox21_n_concentration_points,exact_lincs_cell,tox21_source_n_total_compounds,tox21_source_n_labeled,tox21_source_n_positive,tox21_source_n_negative,tox21_source_n_missing,tox21_source_positive_prevalence,stage1_pool_n_total_compounds,stage1_pool_n_labeled,stage1_pool_n_positive,stage1_pool_n_negative,stage1_pool_n_missing,stage1_pool_positive_prevalence,stage1_train_n_total_compounds,stage1_train_n_labeled,stage1_train_n_positive,stage1_train_n_negative,stage1_train_n_missing,stage1_train_positive_prevalence,stage1_validation_n_total_compounds,stage1_validation_n_labeled,stage1_validation_n_positive,stage1_validation_n_negative,stage1_validation_n_missing,stage1_validation_positive_prevalence,stage1_ensemble_selection_n_total_compounds,stage1_ensemble_selection_n_labeled,stage1_ensemble_selection_n_positive,stage1_ensemble_selection_n_negative,stage1_ensemble_selection_n_missing,stage1_ensemble_selection_positive_prevalence
NR,NR-AR,Androgen-receptor transcriptional activation,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,DMSO,16,,7462,6904,288,6616,558,0.04171494785631518,1732,1555,107,1448,177,0.06881028938906752,1039,927,83,844,112,0.0895361380798274,346,316,12,304,30,0.0379746835443038,347,312,12,300,35,0.038461538461538464
NR,NR-AR-LBD,Androgen-receptor ligand-binding-domain activation,tox21-ar-bla-agonist-p1,AR-bla,16.0,DMSO,16,,7462,6420,223,6197,1042,0.03473520249221184,1732,1393,92,1301,339,0.06604450825556353,1039,838,70,768,201,0.08353221957040573,346,281,11,270,65,0.03914590747330961,347,274,11,263,73,0.040145985401459854
NR,NR-AhR,Aryl-hydrocarbon-receptor activation,tox21-ahr-p1,HepG2-AhR-luc,24.0,DMSO,16,HEPG2,7462,6224,746,5478,1238,0.1198586118251928,1732,1352,217,1135,380,0.16050295857988164,1039,809,125,684,230,0.15451174289245984,346,272,49,223,74,0.1801470588235294,347,271,43,228,76,0.15867158671586715
NR,NR-Aromatase,Aromatase activity/inhibition,tox21-aromatase-p1,MCF-7,24.0,DMSO,16,MCF7,7462,5510,277,5233,1952,0.05027223230490018,1732,1081,102,979,651,0.09435707678075855,1039,645,65,580,394,0.10077519379844961,346,232,22,210,114,0.09482758620689655,347,204,15,189,143,0.07352941176470588
NR,NR-ER,Estrogen-receptor transcriptional response,tox21-er-luc-bg1-4e2-antagonist-p2,BG1,22.0,DMSO,16,,7462,5894,757,5137,1568,0.12843569731930776,1732,1199,194,1005,533,0.16180150125104253,1039,726,132,594,313,0.18181818181818182,346,237,29,208,109,0.12236286919831224,347,236,33,203,111,0.13983050847457626
NR,NR-ER-LBD,Estrogen-receptor ligand-binding-domain activation,tox21-er-bla-agonist-p2,HEK293,18.0,DMSO,16,,7462,6620,327,6293,842,0.04939577039274924,1732,1434,90,1344,298,0.06276150627615062,1039,866,63,803,173,0.07274826789838337,346,284,14,270,62,0.04929577464788732,347,284,13,271,63,0.045774647887323945
NR,NR-PPAR-gamma,PPAR-gamma activation,tox21-pparg-bla-agonist-p1,PPARg-bla,17.0,DMSO,16,,7462,6140,173,5967,1322,0.028175895765472313,1732,1268,51,1217,464,0.04022082018927445,1039,766,29,737,273,0.037859007832898174,346,255,11,244,91,0.043137254901960784,347,247,11,236,100,0.044534412955465584
SR,SR-ARE,Antioxidant-response-element activation,tox21-are-bla-p1,ARE-bla reporter system,16.0,DMSO,16,,7462,5557,893,4664,1905,0.16069821846319957,1732,1109,269,840,623,0.24256086564472498,1039,684,157,527,355,0.22953216374269006,346,210,52,158,136,0.24761904761904763,347,215,60,155,132,0.27906976744186046
SR,SR-ATAD5,ATAD5/ELG1 DNA-damage response,tox21-elg1-luc-agonist-p1,HEK293T,,DMSO,16,,7462,6725,255,6470,737,0.0379182156133829,1732,1478,73,1405,254,0.04939106901217862,1039,885,40,845,154,0.04519774011299435,346,298,16,282,48,0.053691275167785234,347,295,17,278,52,0.0576271186440678
SR,SR-HSE,Heat-shock response-element activation,tox21-hse-bla-p1,HeLa,5.0,DMSO,16,,7462,6168,342,5826,1294,0.05544747081712062,1732,1280,94,1186,452,0.0734375,1039,781,51,730,258,0.06530089628681178,346,240,20,220,106,0.08333333333333333,347,259,23,236,88,0.0888030888030888
SR,SR-MMP,Mitochondrial membrane-potential disruption,tox21-mitotox-p1,HepG2,1.0,DMSO,16,HEPG2,7462,5509,873,4636,1953,0.1584679615175168,1732,1155,262,893,577,0.22683982683982684,1039,695,163,532,344,0.23453237410071942,346,230,53,177,116,0.23043478260869565,347,230,46,184,117,0.2
SR,SR-p53,p53 response-element activation,tox21-p53-bla-p1,p53RE-bla reporter system,16.0,DMSO,16,,7462,6449,406,6043,1013,0.0629554969762754,1732,1391,136,1255,341,0.09777138749101366,1039,836,70,766,203,0.08373205741626795,346,282,29,253,64,0.10283687943262411,347,273,37,236,74,0.13553113553113552
