family,task,cell_line,exposure_h,paired_cohort_n_total,n_labeled,n_missing,n_positive,n_negative,positive_prevalence,paired_model_included,analysis_status
NR,NR-AR,HA1E,6,861,830,31,59,771,0.07108433734939759,True,confirmatory
NR,NR-AR,HA1E,24,861,830,31,59,771,0.07108433734939759,True,confirmatory
NR,NR-AR-LBD,HA1E,6,861,747,114,39,708,0.05220883534136546,True,confirmatory
NR,NR-AR-LBD,HA1E,24,861,747,114,39,708,0.05220883534136546,True,confirmatory
NR,NR-AhR,HA1E,6,861,727,134,91,636,0.12517193947730398,True,confirmatory
NR,NR-AhR,HA1E,24,861,727,134,91,636,0.12517193947730398,True,confirmatory
NR,NR-Aromatase,HA1E,6,861,655,206,57,598,0.08702290076335878,True,confirmatory
NR,NR-Aromatase,HA1E,24,861,655,206,57,598,0.08702290076335878,True,confirmatory
NR,NR-ER,HA1E,6,861,689,172,112,577,0.1625544267053701,True,confirmatory
NR,NR-ER,HA1E,24,861,689,172,112,577,0.1625544267053701,True,confirmatory
NR,NR-ER-LBD,HA1E,6,861,772,89,40,732,0.05181347150259067,True,confirmatory
NR,NR-ER-LBD,HA1E,24,861,772,89,40,732,0.05181347150259067,True,confirmatory
NR,NR-PPAR-gamma,HA1E,6,861,696,165,29,667,0.041666666666666664,True,confirmatory
NR,NR-PPAR-gamma,HA1E,24,861,696,165,29,667,0.041666666666666664,True,confirmatory
SR,SR-ARE,HA1E,6,861,584,277,118,466,0.20205479452054795,True,confirmatory
SR,SR-ARE,HA1E,24,861,584,277,118,466,0.20205479452054795,True,confirmatory
SR,SR-ATAD5,HA1E,6,861,778,83,43,735,0.055269922879177376,True,confirmatory
SR,SR-ATAD5,HA1E,24,861,778,83,43,735,0.055269922879177376,True,confirmatory
SR,SR-HSE,HA1E,6,861,697,164,43,654,0.06169296987087518,True,confirmatory
SR,SR-HSE,HA1E,24,861,697,164,43,654,0.06169296987087518,True,confirmatory
SR,SR-MMP,HA1E,6,861,613,248,111,502,0.18107667210440456,True,confirmatory
SR,SR-MMP,HA1E,24,861,613,248,111,502,0.18107667210440456,True,confirmatory
SR,SR-p53,HA1E,6,861,757,104,76,681,0.10039630118890357,True,confirmatory
SR,SR-p53,HA1E,24,861,757,104,76,681,0.10039630118890357,True,confirmatory
NR,NR-AR,HEPG2,6,46,45,1,5,40,0.1111111111111111,False,excluded_from_paired_modeling
NR,NR-AR,HEPG2,24,46,45,1,5,40,0.1111111111111111,False,excluded_from_paired_modeling
NR,NR-AR-LBD,HEPG2,6,46,31,15,1,30,0.03225806451612903,False,excluded_from_paired_modeling
NR,NR-AR-LBD,HEPG2,24,46,31,15,1,30,0.03225806451612903,False,excluded_from_paired_modeling
NR,NR-AhR,HEPG2,6,46,36,10,6,30,0.16666666666666666,False,excluded_from_paired_modeling
NR,NR-AhR,HEPG2,24,46,36,10,6,30,0.16666666666666666,False,excluded_from_paired_modeling
NR,NR-Aromatase,HEPG2,6,46,26,20,14,12,0.5384615384615384,False,excluded_from_paired_modeling
NR,NR-Aromatase,HEPG2,24,46,26,20,14,12,0.5384615384615384,False,excluded_from_paired_modeling
NR,NR-ER,HEPG2,6,46,23,23,11,12,0.4782608695652174,False,excluded_from_paired_modeling
NR,NR-ER,HEPG2,24,46,23,23,11,12,0.4782608695652174,False,excluded_from_paired_modeling
NR,NR-ER-LBD,HEPG2,6,46,39,7,8,31,0.20512820512820512,False,excluded_from_paired_modeling
NR,NR-ER-LBD,HEPG2,24,46,39,7,8,31,0.20512820512820512,False,excluded_from_paired_modeling
NR,NR-PPAR-gamma,HEPG2,6,46,29,17,2,27,0.06896551724137931,False,excluded_from_paired_modeling
NR,NR-PPAR-gamma,HEPG2,24,46,29,17,2,27,0.06896551724137931,False,excluded_from_paired_modeling
SR,SR-ARE,HEPG2,6,46,26,20,15,11,0.5769230769230769,False,excluded_from_paired_modeling
SR,SR-ARE,HEPG2,24,46,26,20,15,11,0.5769230769230769,False,excluded_from_paired_modeling
SR,SR-ATAD5,HEPG2,6,46,33,13,6,27,0.18181818181818182,False,excluded_from_paired_modeling
SR,SR-ATAD5,HEPG2,24,46,33,13,6,27,0.18181818181818182,False,excluded_from_paired_modeling
SR,SR-HSE,HEPG2,6,46,36,10,6,30,0.16666666666666666,False,excluded_from_paired_modeling
SR,SR-HSE,HEPG2,24,46,36,10,6,30,0.16666666666666666,False,excluded_from_paired_modeling
SR,SR-MMP,HEPG2,6,46,29,17,19,10,0.6551724137931034,False,excluded_from_paired_modeling
SR,SR-MMP,HEPG2,24,46,29,17,19,10,0.6551724137931034,False,excluded_from_paired_modeling
SR,SR-p53,HEPG2,6,46,38,8,15,23,0.39473684210526316,False,excluded_from_paired_modeling
SR,SR-p53,HEPG2,24,46,38,8,15,23,0.39473684210526316,False,excluded_from_paired_modeling
NR,NR-AR,HT29,6,606,585,21,44,541,0.07521367521367521,True,confirmatory
NR,NR-AR,HT29,24,606,585,21,44,541,0.07521367521367521,True,confirmatory
NR,NR-AR-LBD,HT29,6,606,523,83,19,504,0.036328871892925434,True,exploratory_active_count_below_20
NR,NR-AR-LBD,HT29,24,606,523,83,19,504,0.036328871892925434,True,exploratory_active_count_below_20
NR,NR-AhR,HT29,6,606,516,90,63,453,0.12209302325581395,True,confirmatory
NR,NR-AhR,HT29,24,606,516,90,63,453,0.12209302325581395,True,confirmatory
NR,NR-Aromatase,HT29,6,606,475,131,45,430,0.09473684210526316,True,confirmatory
NR,NR-Aromatase,HT29,24,606,475,131,45,430,0.09473684210526316,True,confirmatory
NR,NR-ER,HT29,6,606,487,119,76,411,0.15605749486652978,True,confirmatory
NR,NR-ER,HT29,24,606,487,119,76,411,0.15605749486652978,True,confirmatory
NR,NR-ER-LBD,HT29,6,606,547,59,25,522,0.04570383912248629,True,confirmatory
NR,NR-ER-LBD,HT29,24,606,547,59,25,522,0.04570383912248629,True,confirmatory
NR,NR-PPAR-gamma,HT29,6,606,483,123,17,466,0.035196687370600416,True,exploratory_active_count_below_20
NR,NR-PPAR-gamma,HT29,24,606,483,123,17,466,0.035196687370600416,True,exploratory_active_count_below_20
SR,SR-ARE,HT29,6,606,416,190,80,336,0.19230769230769232,True,confirmatory
SR,SR-ARE,HT29,24,606,416,190,80,336,0.19230769230769232,True,confirmatory
SR,SR-ATAD5,HT29,6,606,544,62,30,514,0.05514705882352941,True,confirmatory
SR,SR-ATAD5,HT29,24,606,544,62,30,514,0.05514705882352941,True,confirmatory
SR,SR-HSE,HT29,6,606,498,108,31,467,0.06224899598393574,True,confirmatory
SR,SR-HSE,HT29,24,606,498,108,31,467,0.06224899598393574,True,confirmatory
SR,SR-MMP,HT29,6,606,430,176,61,369,0.14186046511627906,True,confirmatory
SR,SR-MMP,HT29,24,606,430,176,61,369,0.14186046511627906,True,confirmatory
SR,SR-p53,HT29,6,606,533,73,57,476,0.10694183864915573,True,confirmatory
SR,SR-p53,HT29,24,606,533,73,57,476,0.10694183864915573,True,confirmatory
NR,NR-AR,MCF7,6,1316,1243,73,78,1165,0.06275140788415125,True,confirmatory
NR,NR-AR,MCF7,24,1316,1243,73,78,1165,0.06275140788415125,True,confirmatory
NR,NR-AR-LBD,MCF7,6,1316,1129,187,51,1078,0.045172719220549155,True,confirmatory
NR,NR-AR-LBD,MCF7,24,1316,1129,187,51,1078,0.045172719220549155,True,confirmatory
NR,NR-AhR,MCF7,6,1316,1099,217,111,988,0.10100090991810737,True,confirmatory
NR,NR-AhR,MCF7,24,1316,1099,217,111,988,0.10100090991810737,True,confirmatory
NR,NR-Aromatase,MCF7,6,1316,1012,304,76,936,0.07509881422924901,True,confirmatory
NR,NR-Aromatase,MCF7,24,1316,1012,304,76,936,0.07509881422924901,True,confirmatory
NR,NR-ER,MCF7,6,1316,1054,262,154,900,0.1461100569259962,True,confirmatory
NR,NR-ER,MCF7,24,1316,1054,262,154,900,0.1461100569259962,True,confirmatory
NR,NR-ER-LBD,MCF7,6,1316,1178,138,59,1119,0.0500848896434635,True,confirmatory
NR,NR-ER-LBD,MCF7,24,1316,1178,138,59,1119,0.0500848896434635,True,confirmatory
NR,NR-PPAR-gamma,MCF7,6,1316,1060,256,33,1027,0.031132075471698113,True,confirmatory
NR,NR-PPAR-gamma,MCF7,24,1316,1060,256,33,1027,0.031132075471698113,True,confirmatory
SR,SR-ARE,MCF7,6,1316,913,403,159,754,0.1741511500547645,True,confirmatory
SR,SR-ARE,MCF7,24,1316,913,403,159,754,0.1741511500547645,True,confirmatory
SR,SR-ATAD5,MCF7,6,1316,1180,136,55,1125,0.046610169491525424,True,confirmatory
SR,SR-ATAD5,MCF7,24,1316,1180,136,55,1125,0.046610169491525424,True,confirmatory
SR,SR-HSE,MCF7,6,1316,1065,251,62,1003,0.05821596244131456,True,confirmatory
SR,SR-HSE,MCF7,24,1316,1065,251,62,1003,0.05821596244131456,True,confirmatory
SR,SR-MMP,MCF7,6,1316,947,369,141,806,0.14889123548046462,True,confirmatory
SR,SR-MMP,MCF7,24,1316,947,369,141,806,0.14889123548046462,True,confirmatory
SR,SR-p53,MCF7,6,1316,1142,174,98,1044,0.08581436077057793,True,confirmatory
SR,SR-p53,MCF7,24,1316,1142,174,98,1044,0.08581436077057793,True,confirmatory
