ik,y,mean_probability_chem,mean_probability_chem_plus_bio,mean_delta_p,mean_aligned_delta_p,sd_aligned_delta_p,median_aligned_delta_p,mean_delta_rank,mean_aligned_delta_rank,mean_B,mean_aligned_B,mean_delta_log_loss,mean_log_loss_improvement,wilcoxon_p_aligned_delta_p,n_positive_direction,n_repeats_exceeding_threshold,n_repeats,task,drug_name,bh_q_rescue_correction,stable_min_repeats,selected_wilcoxon_only,magnitude_ok,selected,selected_q_lt_0.01,selected_q_lt_0.05,selected_q_lt_0.1,selected_q_lt_0.2,selected_previous,role,favorable_change,selected_delta_p,compound_name,tox21_label_conflict,display_rank
BMUKKTUHUDJSNZ,0,0.0633403307233896,0.0554155516566965,-0.0079247790666931,0.0079247790666931,0.0047679822603218,0.0089116240016135,-0.0493083003952569,0.0493083003952569,-0.1458178769441424,0.1458178769441424,-0.008412027096456,0.008412027096456,4.76837158203125e-06,18,0,20,NR-Aromatase,isoxsuprine,9.918212890625e-06,False,True,False,False,False,False,False,False,False,Correction,0.0079247790666931,,Isoxsuprine,False,15
BUXRLJCGHZZYNE,0,0.0596561370302757,0.0513149332632372,-0.0083412037670385,0.0083412037670385,0.0098938517051671,0.0078398576902692,-0.058794466403162,0.058794466403162,-0.1796415841200148,0.1796415841200148,-0.0087769554456293,0.0087769554456293,0.0006046295166015,17,3,20,NR-Aromatase,cimaterol,0.0009981185670882,False,True,False,False,False,False,False,False,False,Correction,0.0083412037670385,,Cimaterol,False,3
GZUITABIAKMVPG,1,0.0729510150004099,0.2240042468526934,0.1510532318522835,0.1510532318522835,0.153886165330843,0.0996314072408312,0.2909090909090909,0.2909090909090909,1.1324869130630173,1.1324869130630173,-0.9300415139436587,0.9300415139436587,9.5367431640625e-07,20,13,20,NR-Aromatase,raloxifene,1.6472556374289773e-06,False,True,True,True,False,False,False,False,False,Rescue,0.1510532318522835,0.1510532318522835,Raloxifene,False,18
HOGVTUZUJGHKPL,1,0.0811069233987026,0.2456090120123798,0.1645020886136771,0.1645020886136771,0.1108231274881159,0.1905796858811575,0.2285079051383399,0.2285079051383399,1.1914716653538338,1.1914716653538338,-0.9831383984309544,0.9831383984309544,9.5367431640625e-07,20,15,20,NR-Aromatase,triciribine,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True,Rescue,0.1645020886136771,0.1645020886136771,Triciribine,False,12
HYFHYPWGAURHIV,1,0.0607404411241633,0.574364967495047,0.5136245263708836,0.5136245263708836,0.2358780577584458,0.592330241422646,0.5133399209486166,0.5133399209486166,3.048838218574578,3.048838218574578,-2.105443395000205,2.105443395000205,9.5367431640625e-07,20,19,20,NR-Aromatase,BRD-K76674262,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True,Rescue,0.5136245263708836,0.5136245263708836,BRD-K76674262,False,10
IXORZMNAPKEEDV,0,0.0447546632687438,0.0471205559794565,0.0023658927107127,-0.0023658927107127,0.004725233330635,-0.0010115733861023,0.1185770750988142,-0.1185770750988142,0.0491481077915573,-0.0491481077915573,0.0024923585395216,-0.0024923585395216,0.9384536743164062,9,0,20,NR-Aromatase,MD-920,1.0,False,False,False,False,False,False,False,False,False,Correction,-0.0023658927107127,,MD-920,False,12
JBIMVDZLSHOPLA,0,0.0800054220837695,0.0672923428835002,-0.0127130792002693,0.0127130792002693,0.009472111203979,0.0120716807083397,-0.1024209486166007,0.1024209486166007,-0.1916245197978891,0.1916245197978891,-0.0137055345271908,0.0137055345271908,9.5367431640625e-07,20,4,20,NR-Aromatase,olopatadine,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False,Correction,0.0127130792002693,,Olopatadine,False,9
LCTZPQRFOZKZNK,0,0.0985480670343257,0.093183527013985,-0.0053645400203407,0.0053645400203407,0.0100341043710404,0.0075467714312658,-0.0488636363636363,0.0488636363636363,-0.0669864334236159,0.0669864334236159,-0.0058713409064184,0.0058713409064184,0.0008449554443359,17,0,20,NR-Aromatase,diphemanil,0.0013683015499972,False,True,False,False,False,False,False,False,False,Correction,0.0053645400203407,,Diphemanil,False,4
LPMXVESGRSUGHW,1,0.0858764846035217,0.5880476775553045,0.5021711929517828,0.5021711929517828,0.2355325630356006,0.609586135761885,0.2470849802371541,0.2470849802371541,2.73370605442068,2.73370605442068,-1.7886298148516115,1.7886298148516115,9.5367431640625e-07,20,19,20,NR-Aromatase,ouabain,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True,Rescue,0.5021711929517828,0.5021711929517828,Ouabain,False,4
LTMHDMANZUZIPE,1,0.1474032160068733,0.5621256762358721,0.4147224602289987,0.4147224602289987,0.2121386727303087,0.4072792155474447,0.0398221343873517,0.0398221343873517,2.06436987050197,2.06436987050197,-1.2474972673583562,1.2474972673583562,9.5367431640625e-07,20,19,20,NR-Aromatase,digoxin,1.6472556374289773e-06,True,True,True,True,True,True,True,True,True,Rescue,0.4147224602289987,0.4147224602289987,Digoxin,False,2
