ik,y,mean_probability_chem,mean_probability_chem_plus_bio,mean_delta_p,mean_aligned_delta_p,sd_aligned_delta_p,median_aligned_delta_p,mean_delta_rank,mean_aligned_delta_rank,mean_B,mean_aligned_B,mean_delta_log_loss,mean_log_loss_improvement,wilcoxon_p_aligned_delta_p,n_positive_direction,n_repeats_exceeding_threshold,n_repeats,task,drug_name,bh_q_rescue_correction,stable_min_repeats,selected_wilcoxon_only,magnitude_ok,selected,selected_q_lt_0.01,selected_q_lt_0.05,selected_q_lt_0.1,selected_q_lt_0.2,selected_previous
AADCDMQTJNYOSS,1,0.0714511746640959,0.0720310579091456,0.0005798832450497,0.0005798832450497,0.0072667484019714,0.0012506171931477,0.0241600790513834,0.0241600790513834,0.0015271938674146,0.0015271938674146,-0.0008589318009188,0.0008589318009188,0.4347438812255859,11,0,20,NR-Aromatase,eticlopride,0.5900095530918666,False,False,False,False,False,False,False,False,False
AAKJLRGGTJKAMG,1,0.0958292622740328,0.1286964001349487,0.0328671378609158,0.0328671378609158,0.0215556280446095,0.0319231076563823,0.0695652173913043,0.0695652173913043,0.3168520368450477,0.3168520368450477,-0.2794600519037257,0.2794600519037257,9.5367431640625e-07,20,4,20,NR-Aromatase,erlotinib,1.6472556374289773e-06,False,True,False,True,False,False,False,False,False
AAQOQKQBGPPFNS,0,0.076822844903999,0.0737840566792107,-0.0030387882247882,0.0030387882247882,0.0065592684719367,0.0038710630953797,-0.0104743083003952,0.0104743083003952,-0.0455672482102703,0.0455672482102703,-0.0032748406202028,0.0032748406202028,0.0448474884033203,15,0,20,NR-Aromatase,bretylium,0.0620965224045973,False,False,False,False,False,False,False,False,False
ABJKWBDEJIDSJZ,0,0.130055859705356,0.1263108321621645,-0.0037450275431915,0.0037450275431915,0.0144062699955942,0.0052743561177643,-0.0458003952569169,0.0458003952569169,-0.0400510341017907,0.0400510341017907,-0.0041302902588254,0.0041302902588254,0.0024299621582031,16,2,20,NR-Aromatase,butenafine,0.0037970694158232,False,True,False,False,False,False,False,False,False
ACSIXWWBWUQEHA,0,0.0299713980351148,0.0232142583309803,-0.0067571397041345,0.0067571397041345,0.002232239605204,0.006366615322038,-0.0055335968379446,0.0055335968379446,-0.2622563276812549,0.2622563276812549,-0.0069433000725134,0.0069433000725134,9.5367431640625e-07,20,0,20,NR-Aromatase,clodronic-acid,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
ACTRVOBWPAIOHC,0,0.0274598776077376,0.0229123105061523,-0.0045475671015853,0.0045475671015853,0.0024774755043753,0.004837769738148,0.0050395256916996,-0.0050395256916996,-0.1898625039184214,0.1898625039184214,-0.0046639645126646,0.0046639645126646,9.5367431640625e-07,20,0,20,NR-Aromatase,dimercaptosuccinic-acid,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
ACWBQPMHZXGDFX,0,0.0627862390962319,0.0561152176693242,-0.0066710214269076,0.0066710214269076,0.0037552764068226,0.0064165355361066,-0.0306324110671936,0.0306324110671936,-0.1214096354450841,0.1214096354450841,-0.0070888305888888,0.0070888305888888,9.5367431640625e-07,20,0,20,NR-Aromatase,valsartan,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
AELCINSCMGFISI,0,0.0637953791105823,0.0503712868973984,-0.0134240922131839,0.0134240922131839,0.0058745848532087,0.0137913977025143,-0.125,0.125,-0.2553015052437177,0.2553015052437177,-0.0142256704284642,0.0142256704284642,9.5367431640625e-07,20,1,20,NR-Aromatase,tranylcypromine,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
AEOCXXJPGCBFJA,0,0.0880859153373423,0.0687073344891228,-0.0193785808482195,0.0193785808482195,0.0116383321628971,0.0226498473428263,-0.1623517786561265,0.1623517786561265,-0.2777141565966543,0.2777141565966543,-0.0209913995450725,0.0209913995450725,9.5367431640625e-07,20,11,20,NR-Aromatase,ethionamide,2.4190763147865854e-06,False,True,False,False,False,False,False,False,False
AEUTYOVWOVBAKS,0,0.0429798604370869,0.0380216259526325,-0.0049582344844544,0.0049582344844544,0.0046596454269823,0.0046508368302889,0.0119071146245059,-0.0119071146245059,-0.1338794503273356,0.1338794503273356,-0.005161175710012,0.005161175710012,6.67572021484375e-05,18,0,20,NR-Aromatase,ethambutol,0.0001218026144462,False,True,False,False,False,False,False,False,False
