Family,Tox21 endpoint,Cell line,Cohort,Exposure,Dose window (uM),Total compounds,Labeled,Active,Inactive,Missing,Active (%),Outer-train N,Outer-test N,Outer-test active,Minimum test actives,Analysis status
SR,SR-ARE,HA1E,Primary 6 h,6,8-12,1012,690,136,554,322,19.710144927536234,435-640,50-255,10-41,10.0,Confirmatory-eligible
SR,SR-ARE,HepG2,Primary 6 h,6,8-12,695,451,98,353,244,21.729490022172946,300-419,32-151,7-33,7.0,Confirmatory-eligible
SR,SR-ARE,HT29,Primary 6 h,6,8-12,1005,682,129,553,323,18.914956011730204,443-632,50-239,8-46,8.0,Confirmatory-eligible
SR,SR-ARE,MCF7,Primary 6 h,6,8-12,1332,923,160,763,409,17.33477789815818,594-874,49-329,7-58,7.0,Confirmatory-eligible
SR,SR-ATAD5,HA1E,Primary 6 h,6,8-12,1012,911,50,861,101,5.488474204171241,604-821,90-307,2-18,2.0,Confirmatory-eligible
SR,SR-ATAD5,HepG2,Primary 6 h,6,8-12,695,619,33,586,76,5.3311793214862675,426-552,67-193,2-14,2.0,Confirmatory-eligible
SR,SR-ATAD5,HT29,Primary 6 h,6,8-12,1005,903,50,853,102,5.537098560354374,601-811,92-302,3-18,3.0,Confirmatory-eligible
SR,SR-ATAD5,MCF7,Primary 6 h,6,8-12,1332,1196,57,1139,136,4.765886287625419,770-1086,110-426,2-24,2.0,Confirmatory-eligible
SR,SR-HSE,HA1E,Primary 6 h,6,8-12,1012,814,52,762,198,6.388206388206388,540-739,75-274,2-20,2.0,Confirmatory-eligible
SR,SR-HSE,HepG2,Primary 6 h,6,8-12,695,547,30,517,148,5.484460694698354,361-493,54-186,2-13,2.0,Confirmatory-eligible
SR,SR-HSE,HT29,Primary 6 h,6,8-12,1005,806,50,756,199,6.20347394540943,530-733,73-276,3-21,3.0,Confirmatory-eligible
SR,SR-HSE,MCF7,Primary 6 h,6,8-12,1332,1077,64,1013,255,5.942432683379758,687-997,80-390,4-26,4.0,Confirmatory-eligible
SR,SR-MMP,HA1E,Primary 6 h,6,8-12,1012,723,129,594,289,17.842323651452283,463-671,52-260,8-48,8.0,Confirmatory-eligible
SR,SR-MMP,HepG2,Primary 6 h,6,8-12,695,495,102,393,200,20.606060606060606,321-458,37-174,7-38,7.0,Confirmatory-eligible
