Family,Tox21 assay,Mechanistic endpoint,Tox21 protocol,Assay cell/system,Exposure,Vehicle,Concentration points,Exact LINCS cell,Best LINCS configuration,Cell concordance,Chem+Bio AUPRC ± fold SD,Delta AUPRC [NB 95% CI],Nominal p,BH q,Matched-cell configuration,Matched-cell AUPRC ± fold SD,Matched-cell Delta AUPRC [NB 95% CI],Matched-cell evidence
NR,NR-AR,Androgen-receptor transcriptional activation,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16 h,DMSO,16,-,"HEPG2, 6h, No adjustment",No exact LINCS counterpart,0.553 ± 0.234,"+0.000 [NA, NA]",NA,1,-,-,-,-
NR,NR-AR-LBD,Androgen-receptor ligand-binding-domain activation,tox21-ar-bla-agonist-p1,AR-bla,16 h,DMSO,16,-,"MCF7, 24h, No adjustment",No exact LINCS counterpart,0.586 ± 0.221,"+0.002 [-0.0139, 0.0188]",0.767,1,-,-,-,-
NR,NR-AhR,Aryl-hydrocarbon-receptor activation,tox21-ahr-p1,HepG2-AhR-luc,24 h,DMSO,16,HEPG2,"HA1E, 24h, No adjustment",Exact match available; rank 9,0.529 ± 0.125,"+0.002 [-0.0101, 0.0148]",0.71,1,"HEPG2, 6h, No adjustment",0.476 ± 0.159,"+0.003 [-0.0126, 0.0192]",Positive; not nominally significant
NR,NR-Aromatase,Aromatase activity/inhibition,tox21-aromatase-p1,MCF-7,24 h,DMSO,16,MCF7,"MCF7, 24h, No adjustment",Exact match; global best,0.527 ± 0.135,"+0.117 [0.0134, 0.22]",0.0272,0.109,"MCF7, 24h, No adjustment",0.527 ± 0.135,"+0.117 [0.0134, 0.22]",Positive; nominal evidence
NR,NR-ER,Estrogen-receptor transcriptional response,tox21-er-luc-bg1-4e2-antagonist-p2,BG1,22 h,DMSO,16,-,"HEPG2, 6h, No adjustment",No exact LINCS counterpart,0.468 ± 0.129,"+0.000 [-0.000126, 0.000153]",0.847,1,-,-,-,-
NR,NR-ER-LBD,Estrogen-receptor ligand-binding-domain activation,tox21-er-bla-agonist-p2,HEK293,18 h,DMSO,16,-,"HEPG2, 6h, No adjustment",No exact LINCS counterpart,0.430 ± 0.221,"+0.000 [NA, NA]",NA,1,-,-,-,-
NR,NR-PPAR-gamma,PPAR-gamma activation,tox21-pparg-bla-agonist-p1,PPARg-bla,17 h,DMSO,16,-,"HEPG2, 6h, No adjustment",No exact LINCS counterpart,0.292 ± 0.230,"+0.000 [NA, NA]",NA,1,-,-,-,-
SR,SR-ARE,Antioxidant-response-element activation,tox21-are-bla-p1,ARE-bla reporter system,16 h,DMSO,16,-,"HEPG2, 6h, No adjustment",No exact LINCS counterpart,0.537 ± 0.135,"+0.083 [0.00997, 0.157]",0.0264,0.317,-,-,-,-
SR,SR-ATAD5,ATAD5/ELG1 DNA-damage response,tox21-elg1-luc-agonist-p1,HEK293T,NA,DMSO,16,-,"HEPG2, 6h, Viability-adjusted",No exact LINCS counterpart,0.366 ± 0.156,"-0.003 [-0.0374, 0.0312]",0.859,1,-,-,-,-
SR,SR-HSE,Heat-shock response-element activation,tox21-hse-bla-p1,HeLa,5 h,DMSO,16,-,"HT29, 24h, No adjustment",No exact LINCS counterpart,0.299 ± 0.170,"+0.002 [-0.0251, 0.0294]",0.877,1,-,-,-,-
SR,SR-MMP,Mitochondrial membrane-potential disruption,tox21-mitotox-p1,HepG2,1 h,DMSO,16,HEPG2,"HA1E, 24h, Viability-adjusted",Exact match available; rank 3,0.683 ± 0.086,"+0.112 [0.0285, 0.195]",0.00903,0.108,"HEPG2, 6h, No adjustment",0.673 ± 0.116,"+0.066 [-0.00111, 0.133]",Positive; not nominally significant
SR,SR-p53,p53 response-element activation,tox21-p53-bla-p1,p53RE-bla reporter system,16 h,DMSO,16,-,"MCF7, 24h, No adjustment",No exact LINCS counterpart,0.499 ± 0.132,"+0.206 [0.0812, 0.33]",0.00145,0.0174,-,-,-,-
