family,task,k4_rank,model_key,category,model,single_model_auprc
NR,NR-AR,1,GIN_Pretrained,GNN (MPNN),GIN,0.817776855311102
NR,NR-AR,2,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.8019087308480071
NR,NR-AR,3,Morgan_LR,Classical ML,Morgan + logistic regression,0.775256533589867
NR,NR-AR,4,Morgan_XGB,Classical ML,Morgan + XGBoost,0.7643470645929662
NR,NR-AR-LBD,1,Morgan_XGB,Classical ML,Morgan + XGBoost,0.3811513652805788
NR,NR-AR-LBD,2,MACCS_XGB,Classical ML,MACCS + XGBoost,0.3741164882256529
NR,NR-AR-LBD,3,GIN_Pretrained,GNN (MPNN),GIN,0.3700605771137347
NR,NR-AR-LBD,4,ChemBERTa_Pretrained,BERT,ChemBERTa,0.367393141903481
NR,NR-AhR,1,GIN_Pretrained,GNN (MPNN),GIN,0.5121548754145218
NR,NR-AhR,2,Morgan_LR,Classical ML,Morgan + logistic regression,0.4905726402615902
NR,NR-AhR,3,RDKit_XGB,Classical ML,RDKit topological fingerprint + XGBoost,0.471657932889504
NR,NR-AhR,4,ChemBERTa_Pretrained,BERT,ChemBERTa,0.4504569580454566
NR,NR-Aromatase,1,Morgan_XGB,Classical ML,Morgan + XGBoost,0.3696321099986692
NR,NR-Aromatase,2,MACCS_XGB,Classical ML,MACCS + XGBoost,0.3600872225404378
NR,NR-Aromatase,3,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.3500284648978366
NR,NR-Aromatase,4,GIN_Pretrained,GNN (MPNN),GIN,0.3085363211915259
NR,NR-ER,1,ChemBERTa_Pretrained,BERT,ChemBERTa,0.4154323206411537
NR,NR-ER,2,GCN_Pretrained,GNN (MPNN),GCN,0.3879599370641601
NR,NR-ER,3,GIN_Pretrained,GNN (MPNN),GIN,0.3863576801128477
NR,NR-ER,4,MACCS_XGB,Classical ML,MACCS + XGBoost,0.3841544438880541
NR,NR-ER-LBD,1,MACCS_XGB,Classical ML,MACCS + XGBoost,0.2641339182936812
NR,NR-ER-LBD,2,RDKit_XGB,Classical ML,RDKit topological fingerprint + XGBoost,0.1947685082601991
NR,NR-ER-LBD,3,RDKit_LR,Classical ML,RDKit topological fingerprint + logistic regression,0.1935495511329265
NR,NR-ER-LBD,4,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.1827221721969227
NR,NR-PPAR-gamma,1,Chemprop,GNN (D-MPNN),Chemprop,0.308101014470941
NR,NR-PPAR-gamma,2,Morgan_XGB,Classical ML,Morgan + XGBoost,0.2456989831932623
NR,NR-PPAR-gamma,3,Morgan_LR,Classical ML,Morgan + logistic regression,0.2339012132416996
NR,NR-PPAR-gamma,4,RDKit_LR,Classical ML,RDKit topological fingerprint + logistic regression,0.1930499777339611
SR,SR-ARE,1,GIN_Pretrained,GNN (MPNN),GIN,0.5687786693405894
SR,SR-ARE,2,MACCS_XGB,Classical ML,MACCS + XGBoost,0.5389238898457006
SR,SR-ARE,3,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.5082369807468202
SR,SR-ARE,4,ChemBERTa_Pretrained,BERT,ChemBERTa,0.5044406071320084
SR,SR-ATAD5,1,GIN_Pretrained,GNN (MPNN),GIN,0.2123892356045923
SR,SR-ATAD5,2,Morgan_LR,Classical ML,Morgan + logistic regression,0.2050052863853101
SR,SR-ATAD5,3,Chemprop,GNN (D-MPNN),Chemprop,0.1879919277925282
SR,SR-ATAD5,4,ChemBERTa_Pretrained,BERT,ChemBERTa,0.1797856378292018
SR,SR-HSE,1,GIN_Pretrained,GNN (MPNN),GIN,0.4560723467673271
SR,SR-HSE,2,GCN_Pretrained,GNN (MPNN),GCN,0.3826567350508981
SR,SR-HSE,3,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.3206088715514318
SR,SR-HSE,4,Chemprop,GNN (D-MPNN),Chemprop,0.312704639353232
SR,SR-MMP,1,GCN_Pretrained,GNN (MPNN),GCN,0.5719377520056399
SR,SR-MMP,2,ChemBERTa_Pretrained,BERT,ChemBERTa,0.5622909562110147
SR,SR-MMP,3,RDKit_LR,Classical ML,RDKit topological fingerprint + logistic regression,0.5515909858942347
SR,SR-MMP,4,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.5444131901285467
SR,SR-p53,1,GIN_Pretrained,GNN (MPNN),GIN,0.43601606477242
SR,SR-p53,2,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.4306092020404101
SR,SR-p53,3,Chemprop,GNN (D-MPNN),Chemprop,0.3970786450591669
SR,SR-p53,4,GCN_Pretrained,GNN (MPNN),GCN,0.3895603116192398
