family,task,cell_line,exposure_h,dose_window_uM,paired_cohort_n_total,n_labeled,n_positive,n_negative,n_missing,active_class_prevalence_percent,outer_train_n_range,outer_test_n_range,outer_test_positive_range,minimum_outer_test_positives,eligibility
NR,NR-AR,HA1E,6 and 24,8-12,861,830,59,771,31,7.108433734939759,557-744,86-273,2-26,2,Confirmatory-eligible
NR,NR-AR,HEPG2,6 and 24,8-12,46,45,5,40,1,11.11111111111111,-,-,-,,Excluded
NR,NR-AR,HT29,6 and 24,8-12,606,585,44,541,21,7.521367521367521,407-517,68-178,3-18,3,Confirmatory-eligible
NR,NR-AR,MCF7,6 and 24,8-12,1316,1243,78,1165,73,6.275140788415125,813-1131,112-430,2-36,2,Confirmatory-eligible
NR,NR-AR-LBD,HA1E,6 and 24,8-12,861,747,39,708,114,5.220883534136546,511-680,67-236,2-18,2,Confirmatory-eligible
NR,NR-AR-LBD,HEPG2,6 and 24,8-12,46,31,1,30,15,3.225806451612903,-,-,-,,Excluded
NR,NR-AR-LBD,HT29,6 and 24,8-12,606,523,19,504,83,3.632887189292543,361-466,57-162,2-8,2,Exploratory
NR,NR-AR-LBD,MCF7,6 and 24,8-12,1316,1129,51,1078,187,4.517271922054916,750-1039,90-379,2-31,2,Confirmatory-eligible
NR,NR-AhR,HA1E,6 and 24,8-12,861,727,91,636,134,12.5171939477304,487-665,62-240,5-32,5,Confirmatory-eligible
NR,NR-AhR,HEPG2,6 and 24,8-12,46,36,6,30,10,16.666666666666668,-,-,-,,Excluded
NR,NR-AhR,HT29,6 and 24,8-12,606,516,63,453,90,12.209302325581396,353-464,52-163,3-23,3,Confirmatory-eligible
NR,NR-AhR,MCF7,6 and 24,8-12,1316,1099,111,988,217,10.100090991810736,717-1011,88-382,3-36,3,Confirmatory-eligible
NR,NR-Aromatase,HA1E,6 and 24,8-12,861,655,57,598,206,8.702290076335878,432-602,53-223,3-23,3,Confirmatory-eligible
NR,NR-Aromatase,HEPG2,6 and 24,8-12,46,26,14,12,20,53.84615384615385,-,-,-,,Excluded
NR,NR-Aromatase,HT29,6 and 24,8-12,606,475,45,430,131,9.473684210526315,323-430,45-152,2-18,2,Confirmatory-eligible
NR,NR-Aromatase,MCF7,6 and 24,8-12,1316,1012,76,936,304,7.509881422924901,654-940,72-358,3-27,3,Confirmatory-eligible
NR,NR-ER,HA1E,6 and 24,8-12,861,689,112,577,172,16.25544267053701,451-637,52-238,5-44,5,Confirmatory-eligible
NR,NR-ER,HEPG2,6 and 24,8-12,46,23,11,12,23,47.82608695652174,-,-,-,,Excluded
NR,NR-ER,HT29,6 and 24,8-12,606,487,76,411,119,15.605749486652977,334-441,46-153,4-27,4,Confirmatory-eligible
NR,NR-ER,MCF7,6 and 24,8-12,1316,1054,154,900,262,14.61100569259962,673-978,76-381,6-58,6,Confirmatory-eligible
NR,NR-ER-LBD,HA1E,6 and 24,8-12,861,772,40,732,89,5.181347150259067,518-696,76-254,2-18,2,Confirmatory-eligible
NR,NR-ER-LBD,HEPG2,6 and 24,8-12,46,39,8,31,7,20.512820512820515,-,-,-,,Excluded
NR,NR-ER-LBD,HT29,6 and 24,8-12,606,547,25,522,59,4.570383912248629,371-488,59-176,2-11,2,Confirmatory-eligible
NR,NR-ER-LBD,MCF7,6 and 24,8-12,1316,1178,59,1119,138,5.00848896434635,806-1073,105-372,2-22,2,Confirmatory-eligible
NR,NR-PPAR-gamma,HA1E,6 and 24,8-12,861,696,29,667,165,4.166666666666667,463-634,62-233,2-11,2,Confirmatory-eligible
NR,NR-PPAR-gamma,HEPG2,6 and 24,8-12,46,29,2,27,17,6.896551724137931,-,-,-,,Excluded
NR,NR-PPAR-gamma,HT29,6 and 24,8-12,606,483,17,466,123,3.5196687370600412,329-436,47-154,2-7,2,Exploratory
NR,NR-PPAR-gamma,MCF7,6 and 24,8-12,1316,1060,33,1027,256,3.1132075471698113,676-987,73-384,2-13,2,Confirmatory-eligible
SR,SR-ARE,HA1E,6 and 24,8-12,861,584,118,466,277,20.205479452054796,377-537,47-207,11-40,11,Confirmatory-eligible
SR,SR-ARE,HEPG2,6 and 24,8-12,46,26,15,11,20,57.69230769230769,-,-,-,,Excluded
SR,SR-ARE,HT29,6 and 24,8-12,606,416,80,336,190,19.23076923076923,280-383,33-136,6-29,6,Confirmatory-eligible
