family,task,cell_line,exposure_h,dose_window_uM,n_total_compounds,n_labeled,n_positive,n_negative,n_missing,active_class_prevalence_percent,outer_train_n_range,outer_test_n_range,outer_test_positive_range,minimum_outer_test_positives,eligibility
NR,NR-AR,HA1E,6,8-12,1012,968,72,896,44,7.43801652892562,641-878,90-327,2-29,2,Confirmatory-eligible
NR,NR-AR,HEPG2,6,8-12,695,668,46,622,27,6.88622754491018,463-601,67-205,2-22,2,Confirmatory-eligible
NR,NR-AR,HT29,6,8-12,1005,960,72,888,45,7.5,661-867,93-299,2-29,2,Confirmatory-eligible
NR,NR-AR,MCF7,6,8-12,1332,1259,82,1177,73,6.513105639396346,834-1159,100-425,3-32,3,Confirmatory-eligible
NR,NR-AR-LBD,HA1E,6,8-12,1012,869,49,820,143,5.638665132336018,576-794,75-293,2-24,2,Confirmatory-eligible
NR,NR-AR-LBD,HEPG2,6,8-12,695,598,37,561,97,6.187290969899665,407-539,59-191,2-16,2,Confirmatory-eligible
NR,NR-AR-LBD,HT29,6,8-12,1005,862,47,815,143,5.452436194895592,588-783,79-274,2-24,2,Confirmatory-eligible
NR,NR-AR-LBD,MCF7,6,8-12,1332,1145,53,1092,187,4.62882096069869,749-1059,86-396,2-24,2,Confirmatory-eligible
NR,NR-AhR,HA1E,6,8-12,1012,849,102,747,163,12.014134275618375,556-775,74-293,7-36,7,Confirmatory-eligible
NR,NR-AhR,HEPG2,6,8-12,695,585,65,520,110,11.11111111111111,395-532,53-190,2-26,2,Confirmatory-eligible
NR,NR-AhR,HT29,6,8-12,1005,841,95,746,164,11.296076099881095,569-771,70-272,2-33,2,Confirmatory-eligible
NR,NR-AhR,MCF7,6,8-12,1332,1111,112,999,221,10.081008100810081,729-1027,84-382,6-39,6,Confirmatory-eligible
NR,NR-Aromatase,HA1E,6,8-12,1012,759,63,696,253,8.300395256916996,493-697,62-266,3-24,3,Confirmatory-eligible
NR,NR-Aromatase,HEPG2,6,8-12,695,512,47,465,183,9.1796875,342-473,39-170,2-19,2,Confirmatory-eligible
NR,NR-Aromatase,HT29,6,8-12,1005,758,63,695,247,8.311345646437994,503-696,62-255,2-25,2,Confirmatory-eligible
NR,NR-Aromatase,MCF7,6,8-12,1332,1021,76,945,311,7.443682664054848,648-949,72-373,4-27,4,Confirmatory-eligible
NR,NR-ER,HA1E,6,8-12,1012,805,132,673,207,16.39751552795031,534-740,65-271,5-46,5,Confirmatory-eligible
NR,NR-ER,HEPG2,6,8-12,695,540,92,448,155,17.037037037037038,363-493,47-177,4-32,4,Confirmatory-eligible
NR,NR-ER,HT29,6,8-12,1005,799,128,671,206,16.020025031289112,536-735,64-263,8-50,8,Confirmatory-eligible
NR,NR-ER,MCF7,6,8-12,1332,1067,155,912,265,14.526710402999063,696-997,70-371,6-64,6,Confirmatory-eligible
NR,NR-ER-LBD,HA1E,6,8-12,1012,907,55,852,105,6.063947078280044,614-826,81-293,2-24,2,Confirmatory-eligible
NR,NR-ER-LBD,HEPG2,6,8-12,695,620,39,581,75,6.290322580645161,433-560,60-187,2-17,2,Confirmatory-eligible
NR,NR-ER-LBD,HT29,6,8-12,1005,902,53,849,103,5.875831485587583,610-820,82-292,2-24,2,Confirmatory-eligible
NR,NR-ER-LBD,MCF7,6,8-12,1332,1194,61,1133,138,5.108877721943049,809-1104,90-385,2-26,2,Confirmatory-eligible
NR,NR-PPAR-gamma,HA1E,6,8-12,1012,811,34,777,201,4.192355117139334,556-746,65-255,2-14,2,Confirmatory-eligible
NR,NR-PPAR-gamma,HEPG2,6,8-12,695,552,19,533,143,3.4420289855072466,376-503,49-176,2-7,2,Exploratory
NR,NR-PPAR-gamma,HT29,6,8-12,1005,803,29,774,202,3.61145703611457,536-739,64-267,2-11,2,Confirmatory-eligible
