task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,DMZCCFMMPHJWQY,0.0,-2.189162366463708,0.50240843563624,0.1016039541038254,0.10665312047869849,0.10160395299066986
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,DRZXDZYWZSKFDL,0.0,-2.189162366463708,0.2935635230016896,0.04447636376324164,0.12530902575401284,0.044476363957470226
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,DYEFUKCXAQOFHX,0.0,-2.189162366463708,0.38455403865725846,0.06541046388812613,0.11783177744196978,0.06541046184982792
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,FBOZXECLQNJBKD,0.0,-2.189162366463708,0.22485150499167278,0.03146902373991859,0.1877550544940468,0.03146902477093815
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,FEROPKNOYKURCJ,0.0,-2.189162366463708,0.24805990330705827,0.03563475211480239,0.09558178300242806,0.035634752260717474
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,FIHJKUPKCHIPAT,0.0,-2.189162366463708,0.4033660062746947,0.07039602510093677,0.14407211096727285,0.07039602818441681
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,FMHHVULEAZTJMA,0.0,-2.189162366463708,0.3708240908182514,0.06192851341238255,0.44637987610894875,0.06192851064615414
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,GAGWJHPBXLXJQN,0.0,-2.189162366463708,0.2794720696018802,0.04163673012829471,0.058378391789862066,0.04163673038327674
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,GGALEXMXDMUMDM,0.0,-2.189162366463708,0.21831222512580886,0.030333734915922388,0.05211938925376348,0.030333733537667405
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,GJPICJJJRGTNOD,0.0,-2.189162366463708,0.26591816249214345,0.03899319739527587,0.051214275166507,0.038993196848982475
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,GMHKMTDVRCWUDX,0.0,-2.189162366463708,0.21498469002442652,0.02976229509944717,0.08033858283545764,0.029762293708827513
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,GPXLMGHLHQJAGZ,0.0,-2.189162366463708,0.31347277053513095,0.048656223832917594,0.1449941710218846,0.0486562251312498
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,GUGOEEXESWIERI,0.0,-2.189162366463708,0.3043484370431289,0.046715469748489905,0.07315407394521845,0.04671546984200716
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,HBUBKKRHXORPQB,0.0,-2.189162366463708,0.29117430040031367,0.04398815270060871,0.1437356546830624,0.04398815393946632
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,HDDNYFLPWFSBLN,0.0,-2.189162366463708,0.3557897802984918,0.058258137922069395,0.07835695058942438,0.05825813503368494
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,HJORMJIFDVBMOB,0.0,-2.189162366463708,0.291796227757812,0.044114967450674294,0.05398103447885889,0.04411496779011612
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,HRRBJVNMSRJFHQ,0.0,-2.189162366463708,0.25828134704312655,0.037540093761804394,0.20326002040211702,0.03754009579374826
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,HXHWSAZORRCQMX,0.0,-2.189162366463708,0.3008350861796011,0.04597961991841367,0.062394849896608144,0.04597961863366656
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,ICMGLRUYEQNHPF,0.0,-2.189162366463708,0.24448746019830808,0.034979244908724,0.3205943588508058,0.03497924815994754
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,IMZMKUWMOSJXDT,0.0,-2.189162366463708,0.33377303575498624,0.05313445386837162,0.12082780771175602,0.05313445446242603
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,IPOKCKJONYRRHP,0.0,-2.189162366463708,0.31151177219246845,0.04823544991578957,0.40473473561847156,0.04823544945171952
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,IRSCQMHQWWYFCW,0.0,-2.189162366463708,0.2896414680193028,0.0436764040229014,0.17213006042364914,0.043676406673551306
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,IWUCXVSUMQZMFG,0.0,-2.189162366463708,0.31831051848656977,0.049703001818636044,0.0744028033720785,0.04970300133452121
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,JAUOIFJMECXRGI,0.0,-2.189162366463708,0.34827043360461235,0.05647564040811604,0.14395386909443883,0.05647564045963329
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,JCCNYMKQOSZNPW,0.0,-2.189162366463708,0.3897566944465106,0.06676379324248143,0.21667784041491678,0.06676379746934104
NR-ER-LBD,HT29,residualized,0,0,a1eb8affecf2ee3c7f72a7eed19d7bc59b7b77ae6bf855709477a00de5b4766c,JIVPVXMEBJLZRO,0.0,-2.189162366463708,0.34056654143476756,0.054684785414850307,0.15085976382441507,0.054684784376956674
