Family,Tox21 endpoint,Cell line,Compounds,Panel A Δlog loss ± SD,Panel A ΔAUPRC (D0−C0) ± SD,Panel A NB 95% CI,Panel A P,Panel A BH q,Panel B ΔAUPRC ± SD,Panel B NB 95% CI,Panel B P,Panel B BH q
NR,NR-AR,HA1E,968,-0.1717 ± 0.0046,+0.0000 ± 0.0000,"[-0.2063, -0.1371]",2.26e-16,9.06e-16,+0.0873 ± 0.0201,"[+0.0121, +0.1624]",0.0233,0.1396
NR,NR-AR,HEPG2,668,-0.1924 ± 0.0033,+0.0000 ± 0.0000,"[-0.2315, -0.1532]",3.77e-16,1.51e-15,+0.1083 ± 0.0407,"[-0.0104, +0.2271]",0.0733,0.2674
NR,NR-AR,HT29,960,-0.1742 ± 0.0035,+0.0000 ± 0.0000,"[-0.2126, -0.1358]",1.67e-14,5.01e-14,+0.0848 ± 0.0258,"[-0.0064, +0.1761]",0.068,0.2721
NR,NR-AR,MCF7,1259,-0.1813 ± 0.0046,+0.0000 ± 0.0000,"[-0.2093, -0.1533]",8.28e-23,4.97e-22,+0.1180 ± 0.0248,"[+0.0254, +0.2106]",0.013,0.0895
NR,NR-AR-LBD,HA1E,869,-0.0308 ± 0.0038,+0.0000 ± 0.0000,"[-0.0533, -0.0082]",0.0081,0.0081,-0.0050 ± 0.0133,"[-0.0307, +0.0206]",0.6979,0.9372
NR,NR-AR-LBD,HEPG2,598,-0.0357 ± 0.0045,+0.0000 ± 0.0000,"[-0.0622, -0.0093]",0.0087,0.0087,+0.0031 ± 0.0104,"[-0.0264, +0.0326]",0.8351,0.9935
NR,NR-AR-LBD,HT29,862,-0.0340 ± 0.0031,+0.0000 ± 0.0000,"[-0.0563, -0.0116]",0.0033,0.0033,-0.0101 ± 0.0133,"[-0.0414, +0.0212]",0.5224,0.7836
NR,NR-AR-LBD,MCF7,1145,-0.0355 ± 0.0040,+0.0000 ± 0.0000,"[-0.0556, -0.0154]",0.000699,0.000699,+0.0030 ± 0.0152,"[-0.0374, +0.0433]",0.8833,0.9695
NR,NR-AhR,HA1E,849,-0.0817 ± 0.0058,+0.0000 ± 0.0000,"[-0.1155, -0.0479]",5.65e-06,6.78e-06,+0.0070 ± 0.0072,"[-0.0302, +0.0442]",0.7114,0.9372
NR,NR-AhR,HEPG2,585,-0.0979 ± 0.0060,+0.0000 ± 0.0000,"[-0.1317, -0.0641]",1.03e-07,1.54e-07,-0.0150 ± 0.0222,"[-0.0864, +0.0564]",0.6771,0.9935
NR,NR-AhR,HT29,841,-0.0907 ± 0.0040,+0.0000 ± 0.0000,"[-0.1225, -0.0588]",1.53e-07,2.29e-07,+0.0269 ± 0.0118,"[-0.0303, +0.0841]",0.3536,0.7071
NR,NR-AhR,MCF7,1111,-0.0920 ± 0.0066,+0.0000 ± 0.0000,"[-0.1259, -0.0582]",4.63e-07,6.17e-07,+0.0207 ± 0.0140,"[-0.0271, +0.0684]",0.3923,0.7845
NR,NR-Aromatase,HA1E,759,-0.2353 ± 0.0077,+0.0000 ± 0.0000,"[-0.2858, -0.1849]",4.73e-15,1.42e-14,+0.0126 ± 0.0394,"[-0.1507, +0.1758]",0.8788,0.9372
NR,NR-Aromatase,HEPG2,512,-0.2234 ± 0.0100,+0.0000 ± 0.0000,"[-0.2796, -0.1672]",4.3e-12,1.29e-11,-0.0006 ± 0.0405,"[-0.1370, +0.1359]",0.9935,0.9935
NR,NR-Aromatase,HT29,758,-0.2336 ± 0.0075,+0.0000 ± 0.0000,"[-0.2885, -0.1787]",2.7e-13,5.41e-13,+0.0167 ± 0.0390,"[-0.1347, +0.1681]",0.8275,0.8275
NR,NR-Aromatase,MCF7,1021,-0.2372 ± 0.0067,+0.0000 ± 0.0000,"[-0.2769, -0.1975]",1.04e-20,3.11e-20,+0.0617 ± 0.0333,"[-0.0688, +0.1922]",0.3502,0.7845
NR,NR-ER,HA1E,805,-0.1811 ± 0.0087,+0.0000 ± 0.0000,"[-0.2247, -0.1375]",7.1e-13,1.42e-12,+0.0516 ± 0.0239,"[-0.0110, +0.1141]",0.1052,0.3447
NR,NR-ER,HEPG2,540,-0.1855 ± 0.0084,+0.0000 ± 0.0000,"[-0.2451, -0.1259]",1.46e-08,3.5e-08,+0.0566 ± 0.0158,"[-0.0076, +0.1207]",0.0833,0.2674
